u,v,key,access,bicycle,busway,cycleway,foot,highway,lanes,lit,maxspeed,motor_vehicle,name,oneway,ref,service,sidewalk,smoothness,surface,tunnel,width,osmid,timestamp,version,tags,osm_type,geometry,length
411703355,97788202,0,,,,,,primary,2,yes,,,Πατησίων,yes,,,,,asphalt,,,311453391,1712341213,22,"{""visible"":false,""busway:right"":""lane"",""int_name"":""Patision"",""name:el"":""\u03A0\u03B1\u03C4\u03B7\u03C3\u03AF\u03C9\u03BD"",""name:en"":""Patision"",""official_name"":""28\u03B7\u03C2 \u039F\u03BA\u03C4\u03C9\u03B2\u03C1\u03AF\u03BF\u03C5"",""official_name:en"":""28is Oktovriou"",""trolley_wire"":""yes""}",way,"LINESTRING (23.73058128356934 37.98857116699219, 23.73060417175293 37.98866653442383, 23.73062133789063 37.98873138427734, 23.73063468933105 37.98878479003906, 23.73068428039551 37.98897933959961, 23.73076057434082 37.98927688598633, 23.73076820373535 37.98930358886719, 23.7308406829834 37.98958587646484)",115.1
97797051,97797090,0,,,,,,residential,,,,,Μετσόβου,yes,,,,,asphalt,,6,693488162,1715407138,5,"{""visible"":false,""int_name"":""Metsovou"",""lane_markings"":""no""}",way,"LINESTRING (23.73385429382324 37.99037170410156, 23.73333549499512 37.99045944213867)",46.5
97797051,358464166,0,,,,,,tertiary,,yes,,,Μπουμπουλίνας,yes,,,,,asphalt,,5,228109849,1714971503,18,"{""visible"":false,""int_name"":""Boumpoulinas"",""lane_markings"":""no"",""source"":""Yahoo"",""trolley_wire"":""yes""}",way,"LINESTRING (23.73385429382324 37.99037170410156, 23.73391914367676 37.99063491821289, 23.73397064208984 37.99084091186523)",53.161
358464166,358464040,0,,,,,,tertiary,,yes,,,Μπουμπουλίνας,yes,,,,,asphalt,,5,228109849,1714971503,18,"{""visible"":false,""int_name"":""Boumpoulinas"",""lane_markings"":""no"",""source"":""Yahoo"",""trolley_wire"":""yes""}",way,"LINESTRING (23.73397064208984 37.99084091186523, 23.73405838012695 37.99119186401367, 23.73406219482422 37.99120712280273, 23.73407745361328 37.99126815795898)",48.42
358464166,358464159,0,,,,,,residential,,,,,Ιουλιανού,yes,,,,,asphalt,,,712030313,1649621739,3,"{""visible"":false}",way,"LINESTRING (23.73397064208984 37.99084091186523, 23.73454666137695 37.99074554443359, 23.73457908630371 37.99073791503906)",54.54600000000001
2425856881,2425856882,0,,,,,,service,,,,delivery,,no,,parking_aisle,,,,,,234329668,1629743372,4,"{""visible"":false}",way,"LINESTRING (23.72570610046387 37.98716354370117, 23.72565460205078 37.98699569702148)",19.202
97797102,515962403,0,,,,,,primary,2,yes,,,Πατησίων,yes,ΕΟ1,,,,asphalt,,,243850915,1712341213,25,"{""visible"":false,""int_name"":""Patision"",""name:el"":""\u03A0\u03B1\u03C4\u03B7\u03C3\u03AF\u03C9\u03BD"",""name:en"":""Patision"",""official_name"":""28\u03B7\u03C2 \u039F\u03BA\u03C4\u03C9\u03B2\u03C1\u03AF\u03BF\u03C5"",""official_name:en"":""28is Oktovriou"",""trolley_wire"":""yes""}",way,"LINESTRING (23.73115539550781 37.99081802368164, 23.73122596740723 37.99109268188477, 23.73123550415039 37.99113082885742, 23.73127555847168 37.99129104614258)",53.642
597677303,97788202,0,,,,,,primary,2,yes,,,Μάρνη,yes,,,,,asphalt,,,295083397,1560358408,12,"{""visible"":false,""int_name"":""Marni"",""old_ref"":""\u0395\u039F1""}",way,"LINESTRING (23.73067855834961 37.98949813842773, 23.7308406829834 37.98958587646484)",17.235
597677303,961530639,0,,,,,,primary,2,yes,,,Πατησίων,yes,ΕΟ1,,,,asphalt,,,295083396,1712341213,18,"{""visible"":false,""int_name"":""Patision"",""name:el"":""\u03A0\u03B1\u03C4\u03B7\u03C3\u03AF\u03C9\u03BD"",""name:en"":""Patision"",""official_name"":""28\u03B7\u03C2 \u039F\u03BA\u03C4\u03C9\u03B2\u03C1\u03AF\u03BF\u03C5"",""official_name:en"":""28is Oktovriou"",""trolley_wire"":""yes""}",way,"LINESTRING (23.73067855834961 37.98949813842773, 23.73063659667969 37.98932647705078, 23.73060607910156 37.98920059204102)",33.69
7214467394,97846091,0,,,,,,residential,,,,,"['Σωκράτους', 'Λυκούργου']",yes,,,,,asphalt,,,"[10976970, 280005151]","[1718173249, 1554145380]","[11, 14]","['{""visible"":false}', '{""visible"":false,""name:etymology:wikidata"":""Q913"",""sidewalk:right"":""separate""}']",way,"LINESTRING (23.72661018371582 37.98342514038086, 23.72659111022949 37.98334884643555, 23.72646903991699 37.98288726806641, 23.72701835632324 37.98280715942383, 23.72713088989258 37.98279190063477, 23.7275447845459 37.98273086547852, 23.72756385803223 37.98272705078125, 23.72766304016113 37.98271179199219)",167.531
